survived,sex,age,sibsp,fare
0,female,,1,69.55
0,male,24,0,9.325
1,female,21,0,7.65
0,male,39,0,7.925
0,male,,2,21.6792
0,male,,2,21.6792
0,male,,2,21.6792
1,female,1,1,16.7
1,female,24,0,16.7
1,female,4,1,16.7
1,male,25,0,9.5
0,male,20,0,8.05
0,male,24.5,0,8.05
0,male,,0,7.725
0,male,,0,7.8958
0,male,,0,7.75
1,male,29,0,9.5
0,male,,0,15.1
1,female,,0,7.7792
0,male,,0,8.05
0,male,,0,8.05
0,male,22,0,7.2292
0,male,,0,8.05
0,male,40,0,7.8958
0,male,21,0,7.925
1,female,18,0,7.4958
0,male,4,3,27.9
0,male,10,3,27.9
0,female,9,3,27.9
0,female,2,3,27.9
0,male,40,1,27.9
0,female,45,1,27.9
0,male,,0,7.8958
0,male,,0,8.05
0,male,,0,8.6625
0,male,,0,7.75
1,female,,0,7.7333
0,male,19,0,7.65
0,male,30,0,8.05
0,male,,0,8.05
0,male,32,0,8.05
0,male,,0,7.8958
0,male,33,0,8.6625
1,female,23,0,7.55
0,male,21,0,8.05
0,male,60.5,0,
0,male,19,0,7.8958
0,female,22,0,9.8375
1,male,31,0,7.925
0,male,27,0,8.6625
0,female,2,0,10.4625
0,female,29,1,10.4625
1,male,16,0,8.05
1,male,44,0,7.925
0,male,25,0,7.05
0,male,74,0,7.775
1,male,14,0,9.225
0,male,24,0,7.7958
1,male,25,0,7.7958
0,male,34,0,8.05
1,male,0.4167,0,8.5167
0,male,,1,6.4375
0,male,,0,6.4375
0,male,,0,7.225
1,female,16,1,8.5167
0,male,,0,8.05
0,male,,1,16.1
1,female,,1,16.1
0,male,32,0,7.925
0,male,,0,7.75
0,male,,0,7.8958
0,male,30.5,0,8.05
0,male,44,0,8.05
0,male,,0,7.2292
1,male,25,0,0
0,male,,0,7.2292
1,male,7,1,15.2458
1,female,9,1,15.2458
1,female,29,0,15.2458
0,male,36,0,7.8958
1,female,18,0,9.8417
1,female,63,0,9.5875
0,male,,1,14.5
0,male,11.5,1,14.5
0,male,40.5,0,14.5
0,female,10,0,24.15
0,male,36,1,24.15
0,female,30,1,24.15
0,male,,0,9.5
0,male,33,0,9.5
0,male,28,0,9.5
0,male,28,0,9.5
0,male,47,0,9
0,female,18,2,18
0,male,31,3,18
0,male,16,2,18
0,female,31,1,18
1,male,22,0,7.225
0,male,20,0,7.8542
0,female,14,0,7.8542
0,male,22,0,7.8958
0,male,22,0,9
0,male,,0,8.05
0,male,,0,7.55
0,male,,0,8.05
0,male,32.5,0,9.5
1,female,38,0,7.2292
0,male,51,0,7.75
0,male,18,1,6.4958
0,male,21,1,6.4958
1,female,47,1,7
0,male,,0,8.7125
0,male,,0,7.55
0,male,,0,8.05
0,male,28.5,0,16.1
0,male,21,0,7.25
0,male,27,0,8.6625
0,male,,0,7.25
0,male,36,0,9.5
0,male,27,1,14.4542
1,female,15,1,14.4542
0,male,45.5,0,7.225
0,male,,0,7.225
0,male,,0,14.4583
0,female,14.5,1,14.4542
0,female,,1,14.4542
0,male,26.5,0,7.225
0,male,27,0,7.225
0,male,29,0,7.875
